875	enjoy/VBP/9	1	1	joy	indian communist	a lot
1150	expect/VBP/2	1	1	anticipation	political commentator	result to weaken the position
1680	expect/VBP/11	2	2	anticipation	they	to survive the next general election
1726	predict/VBP/8 that/IN/9	1	1	anticipation	we	Railtrack will be publicly own again
2045	be/VBP/15 fully/RB/16 satisfy/VBN/17 that/IN/18	1	1	joy	I	be completely , completely transparent
2597	predict/VBP/27	2	2	anticipation	independent expert	will be
3171	expect/VBP/13	3	3	anticipation	official	it to be use
4072	fear/VBP/18	1	1	fear	the government	destabilisation attempt
5076	anticipate/VBP/8	1	1	anticipation	we	a more robust performance
5364	be/VBP/2 afraid/JJ/3	1	1	fear	I	a awful lot would detach we
6121	be/VBP/2 happy/JJ/3	1	2	joy	I	to sit down and talk
6269	enjoy/VBP/1	1	2	joy	I	fish
6271	enjoy/VBP/7	2	3	joy	I	go
6314	expect/VBP/10	1	1	anticipation	few	a surprise outcome
6404	fear/VBP/6	1	1	fear	they	the order is design to do more than hinder the KNP , lead ,
6507	expect/VBP/2	4	5	anticipation	most pundit	Vajpayee to win
7181	predict/VBP/5	1	1	anticipation	Hindu nationalist	victory
7400	fear/VBP/1 that/IN/2	2	2	fear	they	the note might encourage the federal state to give undue attention
7401	fear/VBP/2 that/IN/3	3	3	fear	they	they would become less competitive
8044	be/VBP/2 angry/JJ/3	1	1	anger	people	the city is being defame
8270	expect/VBP/10	5	6	anticipation	we	thing to return
8375	be/VBP/16 content/JJ/17	1	1	joy	I	to accept he apology
8528	fear/VBP/3 that/IN/4	4	4	fear	some people	the hedge fund could desert the Tokyo market en masse
9093	depend/VBP/2 on/IN/3	1	1	trust	such arrangement	NATO evolve
9094	expect/VBP/15	6	7	anticipation	we	the idea to be endorse
9272	expect/VBP/2	7	8	anticipation	the ferrari	to have extra power this weekend
9365	expect/VBP/10	8	9	anticipation	they	to meet the budget deficit criterion next year
9744	foresee/VBP/14	1	1	anticipation	analyst Delos Smith	no action
10061	enjoy/VBP/5	2	2	joy	China and South Africa	a great trading friendship
10454	expect/VBP/10	9	10	anticipation	they	to meet the budget deficit criterion next year
10966	prepare/VBP/19 for/IN/20	1	1	anticipation	they	the summer 's visit
11280	expect/VBP/10	10	11	anticipation	they	to meet the budget deficit criterion next year
11759	fear/VBP/28	5	5	fear	some	tangle up the message
12809	predict/VBP/18	2	2	anticipation	the poll	the poll
13157	expect/VBP/14	11	12	anticipation	they	to lay other charge , possibly next week
14086	forecast/VBP/13	1	1	anticipation	expert	a 46 billion franc deficit
15070	enjoy/VBP/13	3	3	joy	those	all sort
16899	be/VBP/2 happy/JJ/3	2	6	joy	we	he be here
17022	be/VBP/2 happy/JJ/3	3	7	joy	we	he be here
17627	be/VBP/2 happy/JJ/3	4	8	joy	we	he be here
18469	await/VBP/11	1	1	anticipation	the Spurs	the winner
18716	predict/VBP/2	3	3	anticipation	most pundit	a hung parliament
20386	enjoy/VBP/6	4	4	joy	the people	the greatest degree -lrb- -rrb-
21445	be/VBP/1 happy/JJ/2	5	13	joy	I	to see
22551	fear/VBP/17	6	6	fear	some West berliner , ,	being swamp
22805	forecast/VBP/28	1	2	anticipation	he	would improve
23403	expect/VBP/8	12	13	anticipation	they	to win the election
23615	depend/VBP/11 on/IN/12	2	2	trust	the chance	the readiness
24062	depend/VBP/11 on/IN/12	3	3	trust	the chance	the readiness
24414	forecast/VBP/7	2	3	anticipation	Deputy Prime Minister Anwar Ibrahim	the country would issue 200 billion ringgit worth ,
25393	fear/VBP/2 that/IN/3	7	7	fear	I	basically it mean
26167	be/VBP/2 happy/JJ/3	6	15	joy	I	because I need it
27508	fear/VBP/10	2	9	fear	fruitgrower	fruitgrower
28598	fear/VBP/6	3	10	fear	investor	a rise
28659	fear/VBP/23	8	8	fear	grower	they fruit may have to be fumigate
29242	worry/VBP/3	1	1	fear	anxious customer	anxious customer
29389	predict/VBP/12 that/IN/13	3	6	anticipation	poll	President Yoweri Museveni should have no problem legitimise the power
29459	fear/VBP/6	4	13	fear	investor	a rise
30346	fear/VBP/34	9	10	fear	the dam project	more dam could further cut they annual share
30557	expect/VBP/2	13	14	anticipation	I	the israeli nuclear program to be eliminate soon
31242	worry/VBP/3	2	2	fear	anxious customer	anxious customer
31925	predict/VBP/15	4	4	anticipation	the most authoritative poll	a comfortable win
32061	expect/VBP/1	14	15	anticipation	we	to move it
32287	enjoy/VBP/1	5	5	joy	I	it
32441	be/VBP/2 afraid/JJ/3	2	2	fear	I	there be a very serious danger
32981	be/VBP/11 glad/JJ/12	1	1	joy	I	I can concentrate
33179	fear/VBP/1 that/IN/2	10	12	fear	analyst	pressure will stem
33857	predict/VBP/36	5	5	anticipation	the most authoritative survey	a win
33862	fear/VBP/13	5	17	fear	authority	trouble
33863	expect/VBP/34	15	16	anticipation	they	it to renew attack
34587	predict/VBP/3	4	9	anticipation	most opinion poll	the Congress will lose the ballot
35421	expect/VBP/14	2	2	anticipation	protestor	a new shipment
35765	enjoy/VBP/4	3	8	joy	China and Africa	the two side have always support and sympathise '' and promote world peace
35766	enjoy/VBP/16	6	6	joy	the two side	sound relation
35864	expect/VBP/2	3	3	anticipation	we	a final turnout
35976	predict/VBP/2	5	10	anticipation	opinion poll	the Congress will lose the ballot
